year,title,papers,paper_data
2018,Sparse Deep Scattering Croisé Network,['https://www.semanticscholar.org/paper/Sparse-Deep-Scattering-Crois%C3%A9-Network-Cosentino-Balestriero/60aaf40b70d4a38c4546d8601b0143b94547b9d9'],[{'Citations': 0}]
2018,Incremental Learning in Deep Convolutional Neural Networks Using Partial Network Sharing,['https://www.semanticscholar.org/paper/Incremental-Learning-in-Deep-Convolutional-Neural-Sarwar-Ankit/59d660d1dc9114a93f906945a65d41d1a4eaa7ec'],[{'Citations': 32}]
2018,Bayesian Embeddings for Long-Tailed Datasets,['https://www.semanticscholar.org/paper/Bayesian-Embeddings-for-Long-Tailed-Datasets-Fragoso-Ramanan/17bece4f871199192d71d35aebe5af154f74872a'],[{'Citations': 3}]
2018,Deep Hyperspherical Defense against Adversarial Perturbations,['https://www.semanticscholar.org/paper/Deep-Hyperspherical-Defense-against-Adversarial-Liu-Liu/0cf93d3b5754148a380a74a97300c341d403d3c3'],[{'Citations': 0}]
2018,FastNorm: Improving Numerical Stability of Deep Network Training with Efficient Normalization,['https://www.semanticscholar.org/paper/FastNorm%3A-Improving-Numerical-Stability-of-Deep-Malladi-Sharapov/8b916d298deb20be66d82c960c9c8e7346367f34'],[{'Citations': 0}]
2018,Do Convolutional Neural Networks act  as Compositional Nearest Neighbors?,['https://www.semanticscholar.org/paper/Do-Convolutional-Neural-Networks-act-as-Nearest-Liu-Bansal/d80a794320836120bab46b467118c65fd6693f57'],[{'Citations': 1}]
2018,DETECTING ADVERSARIAL PERTURBATIONS WITH SALIENCY,"['https://www.semanticscholar.org/paper/Detecting-Adversarial-Perturbations-with-Saliency-Zhang-Yang/8d2db5dd735829bc119d136e4e66a2988853b0ce', 'https://www.semanticscholar.org/paper/Detecting-Adversarial-Perturbations-with-Saliency-Zhang-Ye/8ee5ae716558980c3fb60002b2dc0f7270836e9c']","[{'Citations': 6}, {'Citations': 5}]"
2018,Complex- and Real-Valued Neural Network Architectures,['https://www.semanticscholar.org/paper/Complex-and-Real-Valued-Neural-Network-M%C3%B6nning-Manandhar/f6ee5f19af1208b60b484b1186d8d521fdaf52cc'],[{'Citations': 1}]
2018,HyperNetworks with statistical filtering for defending adversarial examples,['https://www.semanticscholar.org/paper/HyperNetworks-with-statistical-filtering-for-Sun-Ozay/6fc8da70c2cf197b19290d002797313877cbc755'],[{'Citations': 7}]
2019,Exponentially Decaying Flows for Optimization in Deep Learning,['https://www.semanticscholar.org/paper/Exponentially-Decaying-Flows-for-Optimization-in-Takeori-Nakamura/afa06ca67b339948a6fd2e676e0e8f72c419f6ca'],[{'Citations': 0}]
2019,In search of theoretically grounded pruning,['https://www.semanticscholar.org/paper/In-search-of-theoretically-grounded-pruning-Svoboda-Liberis/1605b76942db973594117496f7512f76797612d9'],[{'Citations': 0}]
2019,Structured Content Preservation for Unsupervised Text Style Transfer,['https://www.semanticscholar.org/paper/Structured-Content-Preservation-for-Unsupervised-Tian-Hu/701c3c112f54ab392deeb97e3fc2af84b8723f07'],[{'Citations': 17}]
2019,Advanced Neuroevolution: A gradient-free algorithm to train Deep Neural Networks,['https://www.semanticscholar.org/paper/Advanced-Neuroevolution%3A-A-gradient-free-algorithm-Aly-Weikersdorfer/583d3a443e13b4065cfef6361b40f5a10cdc3934'],[{'Citations': 0}]
2019,Bridging HMMs and RNNs through Architectural Transformations,['https://www.semanticscholar.org/paper/Bridging-HMMs-and-RNNs-through-Architectural-Buys-Bisk/694c0c5a4d0176e29bb85e1b9ca8ea84075fbbbb'],[{'Citations': 2}]
2019,Learning with Little Data: Evaluation of Deep Learning Algorithms,['https://www.semanticscholar.org/paper/Learning-with-Little-Data%3A-Evaluation-of-Deep-Look-Riedelbauch/c7fd64405d0fb3a9061da97c175ca7e9cb609593'],[{'Citations': 1}]
2019,Hierarchical Deep Reinforcement Learning Agent with Counter Self-play  on Competitive Games ,['https://www.semanticscholar.org/paper/Hierarchical-Deep-Reinforcement-Learning-Agent-with-Xu-Paster/af804e726d7e34391b3b5f32c4a0d2dbbe76b22a'],[{'Citations': 1}]
2019,Label Smoothing and Logit Squeezing: A Replacement for Adversarial Training?,['https://www.semanticscholar.org/paper/Label-Smoothing-and-Logit-Squeezing%3A-A-Replacement-Shafahi-Ghiasi/176875a416ff1b1a259e0efc7a03c5e2fa43126f'],[{'Citations': 7}]
2019,Rotation Equivariant Networks via Conic Convolution and the DFT,['https://www.semanticscholar.org/paper/Rotation-Equivariant-Networks-via-Conic-Convolution-Chidester-Do/4325888c67f8d94f421ada3d79c1cdf1a03e3948'],[{'Citations': 0}]
2019,GradMix: Multi-source Transfer across Domains and Tasks,['https://www.semanticscholar.org/paper/GradMix%3A-Multi-source-Transfer-across-Domains-and-Li-Xu/623664c5079d3f5060952ade2fb1d56dd1286fc3'],[{'Citations': 1}]
2019,Understanding and Improving Sequence-Labeling NER with Self-Attentive LSTMs,['https://www.semanticscholar.org/paper/Understanding-and-Improving-Sequence-Labeling-NER-Li-Ma/bb1faff615bb91700ac20144fec898d67a0ac2dc'],[{'Citations': 0}]
2019,Differentiable Greedy Networks,['https://www.semanticscholar.org/paper/Differentiable-Greedy-Networks-Powers-Fakoor/31f695ffcdab78b69f66f6a4c71c7fdedc0e8f1f'],[{'Citations': 3}]
2019,Efficient Federated Learning via Variational Dropout,['https://www.semanticscholar.org/paper/Efficient-Federated-Learning-via-Variational-Du-Zeng/38cc015343d2ff2c903b0cba7a12ba8bbb35dd13'],[{'Citations': 6}]
2019,Applications of Gaussian Processes in Finance,['https://www.semanticscholar.org/paper/Applications-of-Gaussian-Processes-in-Finance-Nirwan-Bertschinger/d15045c1bff51fc0d7eb716537c7c6b394f22704'],[{'Citations': 0}]
2019,An Attention-Based Model for Learning Dynamic Interaction Networks,['https://www.semanticscholar.org/paper/An-Attention-Based-Model-for-Learning-Dynamic-Cavallari-Poria/285e29a16e3b58d70bc8ad5547edc3675f51fc39'],[{'Citations': 0}]
2019,Modeling Evolution of Language Through Time with Neural Networks,['https://www.semanticscholar.org/paper/Modeling-Evolution-of-Language-Through-Time-with-Delasalles-Lamprier/71cb06ef74af98a53953f9e92e1c883c18bbba50'],[{'Citations': 0}]
2019,Knowledge Representation for Reinforcement Learning using General Value Functions,['https://www.semanticscholar.org/paper/Knowledge-Representation-for-Reinforcement-Learning-Comanici-Precup/49fa8731911b4d807f9c03e772d617823c4a29b8'],[{'Citations': 0}]
2019,Geometric Operator Convolutional Neural Network,['https://www.semanticscholar.org/paper/Geometric-Operator-Convolutional-Neural-Network-Ma-Luo/cb5c38f0639d9bf08716e7a1d41047a9ed287b26'],[{'Citations': 2}]
2019,Online Bellman Residue Minimization via Saddle Point Optimization,['https://www.semanticscholar.org/paper/Online-Bellman-Residue-Minimization-via-Saddle-Yang-Zhou/9f38f30e499979a700be8037c549d06ad1f7f2b2'],[{'Citations': 0}]
2019,Dual Importance Weight GAN,['https://www.semanticscholar.org/paper/Dual-Importance-Weight-GAN-Lee-Lee/8c3a38d597624cff6e580fef38a6a5aa9a8de67a'],[{'Citations': 0}]
2019,Explainable Adversarial Learning: Implicit Generative Modeling of Random Noise during Training for Adversarial Robustness,['https://www.semanticscholar.org/paper/Explainable-Learning%3A-Implicit-Generative-Modelling-Panda-Roy/ed64d339c426994eb3f9abbf80671d32cc78b005'],[{'Citations': 7}]
2019,Nonlinear Channels Aggregation Networks for Deep Action Recognition,['https://www.semanticscholar.org/paper/Nonlinear-Channels-Aggregation-Networks-for-Deep-Zhu-Ji/7b8e9c50f74ce6ca66a8ab61fb18ca31d26cf13f'],[{'Citations': 0}]
2019,A SINGLE SHOT PCA-DRIVEN ANALYSIS OF NETWORK STRUCTURE TO REMOVE REDUNDANCY,['https://www.semanticscholar.org/paper/A-SINGLE-SHOT-PCA-DRIVEN-ANALYSIS-OF-NETWORK-TO-Garg-Panda/93b5cf80e872f3ad8d7e4e13c9c8bc13b9fb400e'],[{'Citations': 0}]
2019,D2KE: From Distance to Kernel and Embedding via Random Features For Structured Inputs,['https://www.semanticscholar.org/paper/D2KE%3A-From-Distance-to-Kernel-and-Embedding-via-For-Wu-Yen/023c20a8dea7274a9d2dedcb1046a2d65b801f7e'],[{'Citations': 0}]
2019,Latent Transformations for Object  View Points Synthesis,['https://www.semanticscholar.org/paper/Latent-Transformations-for-Object-View-Points-Kim-Winovich/b10e43b8bd0ec01b148079a71fb3aa850c029dbc'],[{'Citations': 1}]
2019,Network Reparameterization for Unseen Class Categorization,['https://www.semanticscholar.org/paper/Network-Reparameterization-for-Unseen-Class-Li-Min/4596165220484f407955b6d1e0571f97323fc39b'],[{'Citations': 3}]
2019,Explaining Neural Networks Semantically and Quantitatively,['https://www.semanticscholar.org/paper/Explaining-Neural-Networks-Semantically-and-Chen-Chen/e05b5c38f342be48f64eee2568d78c42d6c9c2aa'],[{'Citations': 8}]
2019,Explaining AlphaGo: Interpreting Contextual Effects in Neural Networks,['https://www.semanticscholar.org/paper/Explaining-AlphaGo%3A-Interpreting-Contextual-Effects-Ling-Ma/6ba0e4fc9885cdf9b9041c8c354cb2e506ceb06f'],[{'Citations': 1}]
2019,One Bit Matters: Understanding Adversarial Examples as the Abuse of Redundancy,['https://www.semanticscholar.org/paper/One-Bit-Matters%3A-Understanding-Adversarial-Examples-Wang-Jia/7f3003095a25c1d1dbbfd6ba7af050528aa8afd4'],[{'Citations': 2}]
2019,Context-aware Forecasting for Multivariate Stationary Time-series,['https://www.semanticscholar.org/paper/Context-aware-Forecasting-for-Multivariate-Guiguet-Baskiotis/71d411f65fa522fd66346c79505caf975e8b52dc'],[{'Citations': 0}]
2019,HANDLING CONCEPT DRIFT  IN WIFI-BASED INDOOR LOCALIZATION USING REPRESENTATION LEARNING,['https://www.semanticscholar.org/paper/HANDLING-CONCEPT-DRIFT-IN-WIFI-BASED-INDOOR-USING-Seraj-Ghourchian/20ab324864bd42f88b174c9aa7477872412fb841'],[{'Citations': 0}]
2019,Transfer Learning for Estimating Causal Effects Using Neural Networks,['https://www.semanticscholar.org/paper/Transfer-Learning-for-Estimating-Causal-Effects-K%C3%BCnzel-Stadie/899fdcc44212ffacd91b80bb9ca460b807096283'],[{'Citations': 11}]
2019,Variational Autoencoders for Text Modeling without Weakening the Decoder,['https://www.semanticscholar.org/paper/Variational-Autoencoders-for-Text-Modeling-without-Kamoi-Fukutomi/13be32e3029c1be2a00d3cb09f1fd87c3764257c'],[{'Citations': 0}]
2019,A PRIVACY-PRESERVING IMAGE CLASSIFICATION FRAMEWORK WITH A LEARNABLE OBFUSCATOR,['https://www.semanticscholar.org/paper/A-PRIVACY-PRESERVING-IMAGE-CLASSIFICATION-FRAMEWORK-Meng-Huang/a239bd66ff7ff24adda65adbd11ee3d78d84e861'],[{'Citations': 0}]
2019,ODIN: Outlier Detection In Neural Networks,['https://www.semanticscholar.org/paper/ODIN%3A-Outlier-Detection-In-Neural-Networks-Sj%C3%B6gren-Trygg/1b97e4bd3c508526808e74694e7e9fe4be01bf6c'],[{'Citations': 1}]
2019,Improving latent variable descriptiveness by modelling rather than ad-hoc factors,['https://www.semanticscholar.org/paper/Improving-latent-variable-descriptiveness-by-rather-Mansbridge-Fierimonte/acfd9ff11e6bdc805d16cfaca7a122f6ebb1db63'],[{'Citations': 0}]
2019,Capacity of Deep Neural Networks under Parameter Quantization,['https://www.semanticscholar.org/paper/Memorization-Capacity-of-Deep-Neural-Networks-under-Boo-Shin/d2f0ec20184d3b3ada93d23f96dabd2bf5bec6fb'],[{'Citations': 4}]
2019,Learning of Sophisticated Curriculums by viewing them as Graphs over Tasks,['https://www.semanticscholar.org/paper/Learning-of-Sophisticated-Curriculums-by-viewing-as-Willems-Bengio/4bd5880fdca804f12e7f9c1dd9c30c237800c564'],[{'Citations': 0}]
2019,RNNs with Private and Shared Representations for Semi-Supervised Sequence Learning,['https://www.semanticscholar.org/paper/RNNs-with-Private-and-Shared-Representations-for-Luo-Fu/7b862a2bf89a57e9120c03ca8bf940b7b41109f0'],[{'Citations': 0}]
2019,MAJOR-MINOR LSTMS FOR WORD-LEVEL LANGUAGE MODEL,['https://www.semanticscholar.org/paper/MAJOR-MINOR-LSTMS-FOR-WORD-LEVEL-LANGUAGE-MODEL-Shuang-Li/ae5f57c0bfd101b79e16ac0faf0fcc4996e1938b'],[{'Citations': 0}]
2019,SALSA-TEXT : SELF ATTENTIVE LATENT SPACE BASED ADVERSARIAL TEXT GENERATION,['https://www.semanticscholar.org/paper/SALSA-TEXT-%3A-self-attentive-latent-space-based-text-Gagnon-Marchand-Sadeghi/7f2d63a50a2f32caa95e20720eb310e524ff4a8d'],[{'Citations': 7}]
2019,Neuron Hierarchical Networks,['https://www.semanticscholar.org/paper/Neuron-Hierarchical-Networks-Yue-Wu/966bd4a79a9ae4f31e013022c7a105b366e9763f'],[{'Citations': 0}]
2019,Linearizing Visual Processes with Deep Generative Models,['https://www.semanticscholar.org/paper/Linearizing-Visual-Processes-with-Deep-Generative-Sagel-Shen/5a51c595d98a3f1932582fa879813f2df17f0650'],[{'Citations': 0}]
2019,Inhibited Softmax for Uncertainty Estimation in Neural Networks,['https://www.semanticscholar.org/paper/Inhibited-Softmax-for-Uncertainty-Estimation-in-Mozejko-Susik/770c63fbf744f6b7ba2b19ca8e9e1c41e887ef5c'],[{'Citations': 5}]
2019,Improving Gaussian mixture latent variable model convergence with Optimal Transport,['https://www.semanticscholar.org/paper/Improving-Gaussian-mixture-latent-variable-model-Gaujac-Feige/3129528c480f2e274ffcd253d9a20cdaea112e79'],[{'Citations': 0}]
2019,From Amortised to Memoised Inference: Combining Wake-Sleep and Variational-Bayes for Unsupervised Few-Shot Program Learning,['https://www.semanticscholar.org/paper/From-Amortised-to-Memoised-Inference%3A-Combining-and-Hewitt-Tenenbaum/dd9289fbaee5871d594d1471002e4140d609c6b9'],[{'Citations': 0}]
2019,Encoder Discriminator Networks for Unsupervised Representation Learning,['https://www.semanticscholar.org/paper/Encoder-Discriminator-Networks-for-Unsupervised-Wandel/0717dd9637216f5bb34bd3b57d1a1421065dc5ca'],[{'Citations': 0}]
2019,Geometry of Deep Convolutional Networks,['https://www.semanticscholar.org/paper/Geometry-of-Deep-Convolutional-Networks-Carlsson/678856d65c1897f3f5e75b9e3ba15b8155b96277'],[{'Citations': 2}]
2019,Learning and Data Selection in Big Datasets,['https://www.semanticscholar.org/paper/Learning-and-Data-Selection-in-Big-Datasets-Ghadikolaei-Ghauch/dbf49c186cb7b6d7123d89c7bc3a5a06f670a6d0'],[{'Citations': 1}]
2019,Data Poisoning Attack against Unsupervised Node Embedding Methods,['https://www.semanticscholar.org/paper/Data-Poisoning-Attack-against-Unsupervised-Node-Sun-Tang/088569b34d7f58bf4525ade7f391de98d62d601a'],[{'Citations': 17}]
2019,Shaping representations through communication,['https://www.semanticscholar.org/paper/Shaping-representations-through-communication-Tieleman-Lazaridou/cfc5b807f08c6341aad30f67ad52e6e6af47d4f4'],[{'Citations': 6}]
2019,Exploiting Invariant Structures for Compression in Neural Networks,['https://www.semanticscholar.org/paper/Exploiting-Invariant-Structures-for-Compression-in-Su-Li/3d1b3191d3d5df65e4421c4a8b5d54777477b506'],[{'Citations': 1}]
2019,Evading Defenses to Transferable Adversarial Examples by Mitigating Attention Shift,['https://www.semanticscholar.org/paper/Evading-Defenses-to-Transferable-Adversarial-by-Dong-Pang/981e6417b6472c4733a552cbd11aa40cb0df131f'],[{'Citations': 0}]
2019,Classification of Building Noise Type/Position via Supervised Learning,['https://www.semanticscholar.org/paper/Classification-of-Building-Noise-Type%2FPosition-via-Choi-Yang/18c6dace1a101090d6588bb0f23fc08d296839f5'],[{'Citations': 0}]
2019,Nesterov's method is the discretization of a differential equation with Hessian damping,"[""https://www.semanticscholar.org/paper/Nesterov's-method-is-the-discretization-of-a-with-Oberman-Laborde/469a3c42b90b636c9894d18e1a3f746931af22f8""]",[{'Citations': 0}]
2019,"A Forensic Representation to Detect Non-Trivial Image Duplicates, and How it Applies to Semantic Segmentation",['https://www.semanticscholar.org/paper/A-Forensic-Representation-to-Detect-Non-Trivial-and-Cicconet-Elliott/43261b882f2ae6f1c1b894047349c30faddae723'],[{'Citations': 0}]
2019,End-to-end Learning of a Convolutional Neural Network via Deep Tensor Decomposition,['https://www.semanticscholar.org/paper/End-to-end-Learning-of-a-Convolutional-Neural-via-Oymak-Soltanolkotabi/f3d0f3ade770ceffc27671b574b823cd0da99c10'],[{'Citations': 6}]
2019,Domain Adaptive Transfer Learning,['https://www.semanticscholar.org/paper/Domain-Adaptive-Transfer-Learning-Ngiam-Peng/ca50d92e11053794b49b3c59eb2a56655fc3fc07'],[{'Citations': 1}]
2019,Deep clustering based on a mixture of autoencoders,['https://www.semanticscholar.org/paper/Deep-Clustering-Based-On-A-Mixture-Of-Autoencoders-Chazan-Gannot/9b42e7a4b62f9e65ca33c59018bc2339d5f4327a'],[{'Citations': 2}]
2019,Live Face De-Identification in Video,['https://www.semanticscholar.org/paper/Live-Face-De-Identification-in-Video-Gafni-Wolf/d1826354e1e2635e8aa08d7faace176add535f5f'],[{'Citations': 7}]
2019,IMAGE DEFORMATION META-NETWORK FOR ONE-SHOT LEARNING,['https://www.semanticscholar.org/paper/Image-Deformation-Meta-Networks-for-One-Shot-Chen-Fu/99b5147a7119afe5b8d3c51d3f1a68ec0e84978f'],[{'Citations': 23}]
2019,Towards Resisting Large Data Variations via Introspective Learning,['https://www.semanticscholar.org/paper/Towards-Resisting-Large-Data-Variations-via-Zhao-Tian/c1f292afd15c7d944c9ff2dde372a079928ae0ae'],[{'Citations': 1}]
2019,Realistic Adversarial Examples in 3D Meshes,['https://www.semanticscholar.org/paper/Realistic-Adversarial-Examples-in-3D-Meshes-Yang-Xiao/047670f1b38e8df8f5cb6d623e939eecbc2d2315'],[{'Citations': 15}]
2019,Representation Flow for Action Recognition,['https://www.semanticscholar.org/paper/Representation-Flow-for-Action-Recognition-Piergiovanni-Ryoo/7d8be0302b754c903d96fd056c20207ad90ab4e6'],[{'Citations': 23}]
2019,PointGrow: Autoregressively Learned Point Cloud Generation with Self-Attention,['https://www.semanticscholar.org/paper/PointGrow%3A-Autoregressively-Learned-Point-Cloud-Sun-Wang/8ca14e5107ab49aea72e884b033ea6fb13c1e547'],[{'Citations': 21}]
2019,Stacked U-Nets: A No-Frills Approach to Natural Image Segmentation,['https://www.semanticscholar.org/paper/Stacked-U-Nets%3A-A-No-Frills-Approach-to-Natural-Shah-Ghosh/047efd37f34a916d50dbacf4c52afd968389e5e1'],[{'Citations': 25}]
