year,paper,paper_links,paper_data
2017,Decomposing Motion and Content for Natural Video Sequence Prediction,['https://www.semanticscholar.org/paper/Decomposing-Motion-and-Content-for-Natural-Video-Villegas-Yang/b8375ff50b8a6f1a10dd809129a18df96888ac8b'],"[{'Citations': '235', 'Highly Influenced Papers': '57', 'Cite Background': '130', 'Cite Methods': '111', 'Cite Results': '14', 'Twitter Mentions': '8'}]"
2017,Maximum Entropy Flow Networks,['https://www.semanticscholar.org/paper/Maximum-Entropy-Flow-Networks-Loaiza-Ganem-Gao/b88e7d3ecbc62baaf3959fb62702e68790e2bfa6'],"[{'Citations': '20', 'Cite Background': '9', 'Cite Methods': '5'}]"
2017,beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework,['https://www.semanticscholar.org/paper/beta-VAE%3A-Learning-Basic-Visual-Concepts-with-a-Higgins-Matthey/a90226c41b79f8b06007609f39f82757073641e2'],"[{'Citations': '1,160', 'Highly Influenced Papers': '214', 'Cite Background': '723', 'Cite Methods': '438', 'Cite Results': '44'}]"
2017,Soft Weight-Sharing for Neural Network Compression,['https://www.semanticscholar.org/paper/Soft-Weight-Sharing-for-Neural-Network-Compression-Ullrich-Meeds/6c018075720da00d81938bec1c1d2cde42f19d7d'],"[{'Citations': '190', 'Highly Influenced Papers': '26', 'Cite Background': '87', 'Cite Methods': '73', 'Cite Results': '6', 'Twitter Mentions': '38'}]"
2017,Support Regularized Sparse Coding and Its Fast Encoder,"['https://www.semanticscholar.org/paper/Support-Regularized-Sparse-Coding-and-Its-Fast-Yang-Yu/d580cf2cf9493b67d08fa8b2300f3bbc9ed864b7', 'https://www.semanticscholar.org/paper/PARSE-C-ODING-AND-I-TS-F-AST-E-NCODER-Yang-Yu/4a37272cf779184386badd2debca8ed0538a3cdf']","[{'Citations': '1', 'Highly Influenced Papers': '1', 'Cite Background': '1', 'Cite Methods': '1'}, {'Citations': '0'}]"
2017,Stochastic Neural Networks for Hierarchical Reinforcement Learning,['https://www.semanticscholar.org/paper/Stochastic-Neural-Networks-for-Hierarchical-Florensa-Duan/3deecaee4ec1a37de3cb10420eaabff067669e17'],"[{'Citations': '152', 'Highly Influenced Papers': '17', 'Cite Background': '103', 'Cite Methods': '38', 'Cite Results': '2', 'Twitter Mentions': '20'}]"
2017,Combining policy gradient and Q-learning,"[""https://www.semanticscholar.org/paper/PGQ%3A-Combining-policy-gradient-and-Q-learning-O'Donoghue-Munos/c40dd8f235aabe6efbb93c59c0536adf491f9ead"", ""https://www.semanticscholar.org/paper/Combining-policy-gradient-and-Q-learning-O'Donoghue-Munos/5592edb72f1b0dea936ff8baa5ce81fd136b6f59""]","[{'Citations': '76', 'Highly Influenced Papers': '10', 'Cite Background': '29', 'Cite Methods': '25', 'Cite Results': '2'}, {'Citations': '65', 'Highly Influenced Papers': '4', 'Cite Background': '28', 'Cite Methods': '24', 'Cite Results': '2', 'Twitter Mentions': '22'}]"
2017,Recurrent Environment Simulators,['https://www.semanticscholar.org/paper/Recurrent-Environment-Simulators-Chiappa-Racani%C3%A8re/bb430ec2f25e4a1513073a2a4098cbb942c2e3e0'],"[{'Citations': '100', 'Highly Influenced Papers': '7', 'Cite Background': '64', 'Cite Methods': '30', 'Cite Results': '3', 'Twitter Mentions': '145'}]"
2017,Multi-Agent Cooperation and the Emergence of (Natural) Language,['https://www.semanticscholar.org/paper/Multi-Agent-Cooperation-and-the-Emergence-of-Lazaridou-Peysakhovich/f91d1db0fa2ac12e0262a8f5e6a371da29a3c100'],"[{'Citations': '172', 'Highly Influenced Papers': '10', 'Cite Background': '123', 'Cite Methods': '23', 'Cite Results': '9'}]"
2017,Stick-Breaking Variational Autoencoders,"['https://www.semanticscholar.org/paper/STICK-BREAKING-VARIATIONAL-AUTOENCODERS-C%C3%B4t%C3%A9/1a8bd59699d8c025fc092a25331ec33f27f4d5ee', 'https://www.semanticscholar.org/paper/Stick-Breaking-Variational-Autoencoders-Nalisnick-Smyth/cdc9b1759ee485e34045dbe8de947967d259d191']","[{'Citations': '40', 'Highly Influenced Papers': '8', 'Cite Background': '16', 'Cite Methods': '16', 'Cite Results': '1'}, {'Citations': '38', 'Highly Influenced Papers': '6', 'Cite Methods': '17', 'Cite Background': '15', 'Twitter Mentions': '10'}]"
2017,Sigma Delta Quantized Networks,"[""https://www.semanticscholar.org/paper/Sigma-Delta-Quantized-Networks-O'Connor-Welling/6fd4b90193efbd0922554672abb52fa1886f607f""]","[{'Citations': '13', 'Cite Background': '5', 'Cite Methods': '5'}]"
2017,Semi-supervised deep learning by metric embedding,['https://www.semanticscholar.org/paper/Semi-supervised-deep-learning-by-metric-embedding-Hoffer-Ailon/f2546d4762610b425bd38a68026a24a517785fd2'],"[{'Citations': '20', 'Highly Influenced Papers': '2', 'Cite Background': '11', 'Cite Methods': '10', 'Twitter Mentions': '2'}]"
2017,Adversarial Feature Learning,['https://www.semanticscholar.org/paper/Adversarial-Feature-Learning-Donahue-Kr%C3%A4henb%C3%BChl/1db6e3078597386ac4222ba6c3f4f61b61f53539'],"[{'Citations': '792', 'Highly Influenced Papers': '137', 'Cite Background': '439', 'Cite Methods': '266', 'Cite Results': '36'}]"
2017,Learning Visual Servoing with Deep Features and Fitted Q-Iteration,['https://www.semanticscholar.org/paper/Learning-Visual-Servoing-with-Deep-Features-and-Lee-Levine/a82201136fd3e835fbe240368047feeed62a084e'],"[{'Citations': '39', 'Cite Methods': '14', 'Cite Background': '12', 'Twitter Mentions': '9'}]"
2017,Learning End-to-End Goal-Oriented Dialog,['https://www.semanticscholar.org/paper/Learning-End-to-End-Goal-Oriented-Dialog-Bordes-Weston/f81be44000814e7bcb12ae04b4e2d9c01b6515b3'],"[{'Citations': '452', 'Highly Influenced Papers': '71', 'Cite Background': '285', 'Cite Methods': '110', 'Cite Results': '16', 'Twitter Mentions': '630'}]"
2017,Learning Graphical State Transitions,['https://www.semanticscholar.org/paper/Learning-Graphical-State-Transitions-Johnson/edbc873a248768a626ef2bc57b3d1eff30de0e11'],"[{'Citations': '62', 'Highly Influenced Papers': '4', 'Cite Background': '23', 'Cite Methods': '19'}]"
2017,Revisiting Classifier Two-Sample Tests,['https://www.semanticscholar.org/paper/Revisiting-Classifier-Two-Sample-Tests-Lopez-Paz-Oquab/cfec1e2e670bc5de1a0621f66eaed7abb56387f3'],"[{'Citations': '101', 'Highly Influenced Papers': '12', 'Cite Methods': '45', 'Cite Background': '43', 'Cite Results': '2', 'Twitter Mentions': '8'}]"
2017,Mollifying Networks,['https://www.semanticscholar.org/paper/Mollifying-Networks-G%C3%BCl%C3%A7ehre-Moczulski/b9728a8279c12f93fff089b6fac96afd2d3bab04'],"[{'Citations': '25', 'Highly Influenced Papers': '4', 'Cite Background': '15', 'Cite Methods': '4'}]"
2017,Introspection:Accelerating Neural Network Training By Learning Weight Evolution,['https://www.semanticscholar.org/paper/Introspection%3A-Accelerating-Neural-Network-Training-Sinha-Sarkar/9bc3eaa4f816d186b9deac9ba980f278f85a1cd8'],"[{'Citations': '9', 'Highly Influenced Papers': '1', 'Cite Background': '5', 'Cite Methods': '2', 'Cite Results': '1'}]"
2017,Neural Program Lattices,['https://www.semanticscholar.org/paper/Neural-Program-Lattices-Li-Tarlow/15064b7e47b43a68b6661bc7c3eaaad207493191'],"[{'Citations': '20', 'Highly Influenced Papers': '3', 'Cite Background': '15', 'Cite Methods': '3'}]"
2017,Highway and Residual Networks learn Unrolled Iterative Estimation,['https://www.semanticscholar.org/paper/Highway-and-Residual-Networks-learn-Unrolled-Greff-Srivastava/535347e07b2ce5ac229349156db1e7bed0486b91'],"[{'Citations': '111', 'Highly Influenced Papers': '9', 'Cite Background': '63', 'Cite Methods': '16', 'Cite Results': '6', 'Twitter Mentions': '45'}]"
2017,Hadamard Product for Low-rank Bilinear Pooling,['-1'],"[{'Citations': '-1', 'Highly Influenced Papers': '-1', 'Cite Background': '-1', 'Cite Methods': '-1', 'Cite Results': '-1', 'Twitter Mentions': '-1'}]"
2017,Machine Comprehension Using Match-LSTM and Answer Pointer,['https://www.semanticscholar.org/paper/Machine-Comprehension-Using-Match-LSTM-and-Answer-Wang-Jiang/ff1861b71eaedba46cb679bbe2c585dbe18f9b19'],"[{'Citations': '373', 'Highly Influenced Papers': '68', 'Cite Background': '165', 'Cite Methods': '141', 'Cite Results': '7'}]"
2017,Unsupervised Cross-Domain Image Generation,['https://www.semanticscholar.org/paper/Unsupervised-Cross-Domain-Image-Generation-Taigman-Polyak/04bd2907111855b9fde9413bb25b9788a4c03f26'],"[{'Citations': '495', 'Highly Influenced Papers': '35', 'Cite Background': '268', 'Cite Methods': '129', 'Cite Results': '2', 'Twitter Mentions': '18'}]"
2017,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,['https://www.semanticscholar.org/paper/Tying-Word-Vectors-and-Word-Classifiers%3A-A-Loss-for-Inan-Khosravi/424aef7340ee618132cc3314669400e23ad910ba'],"[{'Citations': '245', 'Highly Influenced Papers': '26', 'Cite Methods': '116', 'Cite Background': '99', 'Cite Results': '9', 'Twitter Mentions': '93'}]"
2017,Making Neural Programming Architectures Generalize via Recursion,['https://www.semanticscholar.org/paper/Making-Neural-Programming-Architectures-Generalize-Cai-Shin/6b024162f81e8ff7aa34c3a43d601a912d012c78'],"[{'Citations': '87', 'Highly Influenced Papers': '8', 'Cite Background': '59', 'Cite Methods': '27', 'Cite Results': '1', 'Twitter Mentions': '20'}]"
2017,Generative Multi-Adversarial Networks,['https://www.semanticscholar.org/paper/Generative-Multi-Adversarial-Networks-Durugkar-Gemp/423fab20c1c39cb6b4d6cf6098f61c092e6d1e3f'],"[{'Citations': '155', 'Highly Influenced Papers': '14', 'Cite Background': '78', 'Cite Methods': '40', 'Cite Results': '4', 'Twitter Mentions': '25'}]"
2017,Variational Recurrent Adversarial Deep Domain Adaptation,['https://www.semanticscholar.org/paper/Variational-Recurrent-Adversarial-Deep-Domain-Purushotham-Carvalho/9c4f30fe94ce07a89eb9b1789b338064d5c44811'],"[{'Citations': '27', 'Highly Influenced Papers': '3', 'Cite Background': '14', 'Cite Methods': '7'}]"
2017,Data Noising as Smoothing in Neural Network Language Models,['https://www.semanticscholar.org/paper/Data-Noising-as-Smoothing-in-Neural-Network-Models-Xie-Wang/2d5069a99bfa0b47c095bbb5cefd6dba974f72a7'],"[{'Citations': '62', 'Highly Influenced Papers': '8', 'Cite Background': '28', 'Cite Methods': '26', 'Cite Results': '3'}]"
2017,Deep Probabilistic Programming,['https://www.semanticscholar.org/paper/Deep-Probabilistic-Programming-Tran-Hoffman/8e9532262bb862c62d2d011a93da014da2d97ee9'],"[{'Citations': '125', 'Highly Influenced Papers': '13', 'Cite Background': '56', 'Cite Methods': '51', 'Cite Results': '1'}]"
2017,Hierarchical Multiscale Recurrent Neural Networks,['https://www.semanticscholar.org/paper/Hierarchical-Multiscale-Recurrent-Neural-Networks-Chung-Ahn/65eee67dee969fdf8b44c87c560d66ad4d78e233'],"[{'Citations': '309', 'Highly Influenced Papers': '49', 'Cite Background': '145', 'Cite Methods': '107', 'Cite Results': '12', 'Twitter Mentions': '129'}]"
2017,Programming With a Differentiable Forth Interpreter,['https://www.semanticscholar.org/paper/Programming-with-a-Differentiable-Forth-Interpreter-Bosnjak-Rockt%C3%A4schel/68647069407a278d4adc343c6d5313dd0904788d'],"[{'Citations': '86', 'Highly Influenced Papers': '10', 'Cite Background': '46', 'Cite Methods': '15', 'Cite Results': '1'}]"
2017,Learning to Play in a Day: Faster Deep Reinforcement Learning by Optimality Tightening,['https://www.semanticscholar.org/paper/Learning-to-Play-in-a-Day%3A-Faster-Deep-Learning-by-He-Liu/85d8b1b3483c7f4db999e7cf6b3e6231954c43dc'],"[{'Citations': '46', 'Highly Influenced Papers': '7', 'Cite Methods': '19', 'Cite Background': '18', 'Cite Results': '5', 'Twitter Mentions': '26'}]"
2017,Energy-based Generative Adversarial Networks,['https://www.semanticscholar.org/paper/Energy-based-Generative-Adversarial-Networks-Zhao-Mathieu/5717143b3a98ebcbf72e18fb49464d56b0f2ffca'],"[{'Citations': '168', 'Highly Influenced Papers': '13', 'Cite Background': '21', 'Cite Methods': '18', 'Cite Results': '1'}]"
2017,Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,['https://www.semanticscholar.org/paper/Normalizing-the-Normalizers%3A-Comparing-and-Network-Ren-Liao/2a7564039c2eb69073aafe4b2363490de5b8e3c3'],"[{'Citations': '43', 'Highly Influenced Papers': '2', 'Cite Background': '15', 'Cite Methods': '12'}]"
2017,Learning through Dialogue Interactions by Asking Questions,"['https://www.semanticscholar.org/paper/Learning-through-Dialogue-Interactions-by-Asking-Li-Miller/2685cab753e4c1e9ac6e68b28ad8e2e1f3673f73', 'https://www.semanticscholar.org/paper/Under-Review-as-a-Conference-Paper-at-Iclr-2017-Miller-Chopra/7448695ffffc1b3b6af7ad545053cc8468feae29']","[{'Citations': '43', 'Highly Influenced Papers': '5', 'Cite Background': '24', 'Cite Methods': '6', 'Cite Results': '1', 'Twitter Mentions': '22'}, {'Citations': '0'}]"
2017,Third Person Imitation Learning,['https://www.semanticscholar.org/paper/Third-Person-Imitation-Learning-Stadie-Abbeel/2e1a1b9c2e8feeb31c6855292859bf94101e8382'],"[{'Citations': '108', 'Highly Influenced Papers': '4', 'Cite Background': '57', 'Cite Methods': '28', 'Twitter Mentions': '6'}]"
2017,The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,['https://www.semanticscholar.org/paper/The-Concrete-Distribution%3A-A-Continuous-Relaxation-Maddison-Mnih/515a21e90117941150923e559729c59f5fdade1c'],"[{'Citations': '837', 'Highly Influenced Papers': '120', 'Cite Methods': '522', 'Cite Background': '251', 'Cite Results': '12', 'Twitter Mentions': '301'}]"
2017,Pruning Convolutional Neural Networks for Resource Efficient Inference,['https://www.semanticscholar.org/paper/Pruning-Convolutional-Neural-Networks-for-Resource-Molchanov-Tyree/3db8730c203f88d7f08a6a99e8c02a077dc9b011'],"[{'Citations': '425', 'Highly Influenced Papers': '62', 'Cite Methods': '180', 'Cite Background': '169', 'Cite Results': '14'}]"
2017,Adaptive Feature Abstraction for Translating Video to Language,"['https://www.semanticscholar.org/paper/Adaptive-Feature-Abstraction-for-Translating-Video-Pu-Min/2d692d14b4277e6ad00b9030ad3b68141b3bbc21', 'https://www.semanticscholar.org/paper/Adaptive-Feature-Abstraction-for-Translating-Video-Pu-Min/4b5c35e70954a05ec4b836f166882982f459eefa']","[{'Citations': '10', 'Cite Background': '6', 'Cite Methods': '1', 'Twitter Mentions': '4'}, {'Citations': '16', 'Highly Influenced Papers': '1', 'Cite Background': '7', 'Cite Methods': '4'}]"
2017,Learning Recurrent Representations for Hierarchical Behavior Modeling,['https://www.semanticscholar.org/paper/Learning-recurrent-representations-for-hierarchical-Eyjolfsdottir-Branson/b530755b7d4e1ce03d96812f5e065c30eab8538c'],"[{'Citations': '20', 'Highly Influenced Papers': '1', 'Cite Background': '11', 'Cite Methods': '8', 'Twitter Mentions': '13'}]"
2017,Generalizing Skills with Semi-Supervised Reinforcement Learning,['https://www.semanticscholar.org/paper/Generalizing-Skills-with-Semi-Supervised-Learning-Finn-Yu/4603f26093d64fc4107d3ec49667003f60210654'],"[{'Citations': '32', 'Highly Influenced Papers': '1', 'Cite Background': '21', 'Cite Methods': '4'}]"
2017,Entropy-SGD: Biasing Gradient Descent Into Wide Valleys,['https://www.semanticscholar.org/paper/Entropy-SGD%3A-Biasing-Gradient-Descent-Into-Wide-Chaudhari-Choromanska/b6583fe9c9dc52bb129aff4cefc60519349f3b4c'],"[{'Citations': '286', 'Highly Influenced Papers': '40', 'Cite Background': '169', 'Cite Methods': '67', 'Cite Results': '11', 'Twitter Mentions': '48'}]"
2017,Tree-structured decoding with doubly-recurrent neural networks,"['https://www.semanticscholar.org/paper/Tree-structured-decoding-with-doubly-recurrent-Alvarez-Melis-Jaakkola/9c69926bdb72912725d20a55af7147f86bed01ae', 'https://www.semanticscholar.org/paper/T-REE-STRUCTURED-DECODING-WITH-DOUBLY-RECURRENT-Alvarez-Melis-Jaakkola/e7bd0e7a7ee6b0904d5de6e76e095a6a3b88dd12']","[{'Citations': '61', 'Highly Influenced Papers': '5', 'Cite Background': '30', 'Cite Methods': '19'}, {'Citations': '2', 'Highly Influenced Papers': '1', 'Cite Background': '2', 'Cite Methods': '1'}]"
2017,A Compositional Object-Based Approach to Learning Physical Dynamics,"['https://www.semanticscholar.org/paper/A-Compositional-Object-Based-Approach-to-Learning-Chang-Ullman/a1786540a4e15f0757e1b84a02f98ed436a969e0', 'https://www.semanticscholar.org/paper/LEARNING-PHYSICAL-DYNAMICS-Chang-Ullman/3e93e41ccd22596ca478f336727f6340b12e7572']","[{'Citations': '211', 'Highly Influenced Papers': '15', 'Cite Background': '130', 'Cite Methods': '32', 'Cite Results': '4', 'Twitter Mentions': '66'}, {'Citations': '4', 'Cite Background': '2', 'Cite Methods': '2'}]"
2017,"Attend, Adapt and Transfer: Attentive Deep Architecture for Adaptive Transfer from multiple sources in the same domain",['https://www.semanticscholar.org/paper/Attend%2C-Adapt-and-Transfer%3A-Attentive-Deep-for-from-Rajendran-Lakshminarayanan/8bada64d0b04a66165b464a51c29f61e1f474f2a'],"[{'Citations': '18', 'Highly Influenced Papers': '1', 'Cite Background': '12', 'Cite Methods': '2', 'Cite Results': '2'}]"
2017,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,['https://www.semanticscholar.org/paper/Multilayer-Recurrent-Network-Models-of-Primate-Cell-Batty-Merel/2f8bed08cef7b777da9273f483461ebf4f2e0c63'],"[{'Citations': '29', 'Highly Influenced Papers': '1', 'Cite Background': '11', 'Cite Methods': '8'}]"
2017,LR-GAN: Layered Recursive Generative Adversarial Networks for Image Generation,['https://www.semanticscholar.org/paper/LR-GAN%3A-Layered-Recursive-Generative-Adversarial-Yang-Kannan/c789f8e3f40f57335aef2565f4d2bac69d2941d8'],"[{'Citations': '109', 'Highly Influenced Papers': '11', 'Cite Background': '50', 'Cite Methods': '28', 'Cite Results': '6', 'Twitter Mentions': '24'}]"
2017,Learning to Optimize,['https://www.semanticscholar.org/paper/Learning-to-Optimize-Li-Malik/ead9a671428631e44f6fe49324efe69da628bc47'],"[{'Citations': '136', 'Highly Influenced Papers': '3', 'Cite Background': '64', 'Cite Methods': '34', 'Cite Results': '1'}]"
2017,Variational Lossy Autoencoder,['https://www.semanticscholar.org/paper/Variational-Lossy-Autoencoder-Chen-Kingma/590c9a1ff422b03477f7830b20609f212c85aa13'],"[{'Citations': '326', 'Highly Influenced Papers': '69', 'Cite Background': '210', 'Cite Methods': '109', 'Cite Results': '11', 'Twitter Mentions': '82'}]"
2017,Improving Generative Adversarial Networks with Denoising Feature Matching,['https://www.semanticscholar.org/paper/Improving-Generative-Adversarial-Networks-with-Warde-Farley-Bengio/6ee38873273aead30c8e561ba807a3032204f870'],"[{'Citations': '128', 'Highly Influenced Papers': '20', 'Cite Background': '38', 'Cite Methods': '37', 'Cite Results': '2'}]"
2017,Emergence of foveal image sampling from learning to attend in visual scenes,['https://www.semanticscholar.org/paper/Emergence-of-foveal-image-sampling-from-learning-to-Cheung-Weiss/6d49a7ad76e779df812bda5c4b037a0b9d6847be'],"[{'Citations': '15', 'Cite Background': '8', 'Cite Methods': '2', 'Twitter Mentions': '10'}]"
2017,Words or Characters? Fine-grained Gating for Reading Comprehension,['https://www.semanticscholar.org/paper/Words-or-Characters-Fine-grained-Gating-for-Reading-Yang-Dhingra/b7ffc8f44f7dafd7f51e4e7500842ec406b8e239'],"[{'Citations': '79', 'Highly Influenced Papers': '5', 'Cite Background': '32', 'Cite Methods': '17', 'Cite Results': '2', 'Twitter Mentions': '27'}]"
2017,Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,['https://www.semanticscholar.org/paper/Transfer-Learning-for-Sequence-Tagging-with-Yang-Salakhutdinov/189e6bb7523733c4e524214b9e6ae92d4ed50dac'],"[{'Citations': '182', 'Highly Influenced Papers': '29', 'Cite Background': '100', 'Cite Methods': '58', 'Cite Results': '7', 'Twitter Mentions': '41'}]"
2017,Bidirectional Attention Flow for Machine Comprehension,['https://www.semanticscholar.org/paper/Bidirectional-Attention-Flow-for-Machine-Seo-Kembhavi/3a7b63b50c64f4ec3358477790e84cbd6be2a0b4'],"[{'Citations': '1,067', 'Highly Influenced Papers': '295', 'Cite Background': '537', 'Cite Methods': '646', 'Cite Results': '36'}]"
2017,Query-Reduction Networks for Question Answering,['https://www.semanticscholar.org/paper/Query-Reduction-Networks-for-Question-Answering-Seo-Min/4bf7edee5a4c4cfdbdd43a607c402420129fa277'],"[{'Citations': '85', 'Highly Influenced Papers': '22', 'Cite Background': '56', 'Cite Methods': '34', 'Cite Results': '6'}]"
2017,Training Compressed Fully-Connected Networks with a Density-Diversity Penalty,['https://www.semanticscholar.org/paper/Training-Compressed-Fully-Connected-Networks-with-a-Wang-Cai/9f6422dbb45f1bb183da514517f224b7a6e79f87'],"[{'Citations': '5', 'Cite Background': '2', 'Cite Methods': '1'}]"
2017,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,"['https://www.semanticscholar.org/paper/Do-Deep-Convolutional-Nets-Really-Need-to-be-Deep-Urban-Geras/def52f9e3650ec4e9cc18b3e316f48e9bf046adf', 'https://www.semanticscholar.org/paper/N-EED-TO-BE-D-EEP-AND-C-ONVOLUTIONAL-Urban-Geras/23a432a388552ab52437d428e5af2b6c195be635']","[{'Citations': '98', 'Highly Influenced Papers': '7', 'Cite Background': '46', 'Cite Methods': '18', 'Cite Results': '4'}, {'Citations': '0'}]"
2017,Recurrent Hidden Semi-Markov Model,['https://www.semanticscholar.org/paper/Recurrent-Hidden-Semi-Markov-Model-Dai-Dai/e20d94e43a20315f76067a00d67e4f7523ca7311'],"[{'Citations': '22', 'Highly Influenced Papers': '1', 'Cite Methods': '11', 'Cite Background': '15', 'Cite Results': '2'}]"
2017,Lie-Access Neural Turing Machines,['https://www.semanticscholar.org/paper/Lie-Access-Neural-Turing-Machines-Yang-Rush/15778857f5b4de361dffa3fd156a269184dd2f9e'],"[{'Citations': '2', 'Cite Methods': '1'}]"
2017,What does it take to generate natural textures?,['https://www.semanticscholar.org/paper/What-does-it-take-to-generate-natural-textures-Ustyuzhaninov-Brendel/abdd228205f0878ee0a426d8ef94ab15db4a07e8'],"[{'Citations': '17', 'Highly Influenced Papers': '4', 'Cite Methods': '8', 'Cite Background': '6', 'Cite Results': '2'}]"
2017,Tracking the World State with Recurrent Entity Networks,['https://www.semanticscholar.org/paper/Tracking-the-World-State-with-Recurrent-Entity-Henaff-Weston/033dd6cf61a6017e9aa9b46068d3c89082849cf3'],"[{'Citations': '131', 'Highly Influenced Papers': '30', 'Cite Background': '70', 'Cite Methods': '54', 'Cite Results': '8', 'Twitter Mentions': '669'}]"
2017,Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning,['https://www.semanticscholar.org/paper/Training-Agent-for-First-Person-Shooter-Game-with-Wu-Tian/add7b8b65355d5408a1ffb93a94b0ae688806bc4'],"[{'Citations': '105', 'Highly Influenced Papers': '8', 'Cite Background': '56', 'Cite Methods': '28', 'Cite Results': '1'}]"
2017,Deep Biaffine Attention for Neural Dependency Parsing,['https://www.semanticscholar.org/paper/Deep-Biaffine-Attention-for-Neural-Dependency-Dozat-Manning/8cbef23c9ee2ae7c35cc691a0c1d713a6377c9f2'],"[{'Citations': '363', 'Highly Influenced Papers': '55', 'Cite Methods': '142', 'Cite Background': '120', 'Cite Results': '12', 'Twitter Mentions': '2'}]"
2017,Learning Curve Prediction with Bayesian Neural Networks,['https://www.semanticscholar.org/paper/Learning-Curve-Prediction-with-Bayesian-Neural-Klein-Falkner/925cab60b1795c94ae6f488fda7ad71be71b5822'],"[{'Citations': '101', 'Highly Influenced Papers': '13', 'Cite Background': '49', 'Cite Methods': '34', 'Cite Results': '6'}]"
