year,title,citations,cite_background,cite_methods,cite_results,twitter_mentions,highly_influenced_papers
2017,Energy-based Generative Adversarial Networks,168,21,18,1,0,13
2017,Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,43,15,12,0,0,2
2017,Learning through Dialogue Interactions by Asking Questions,43,24,6,1,22,5
2017,Third Person Imitation Learning,108,57,28,0,6,4
2017,The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,837,251,522,12,301,120
2017,Pruning Convolutional Neural Networks for Resource Efficient Inference,425,169,180,14,0,62
2017,Adaptive Feature Abstraction for Translating Video to Language,26,13,5,0,4,1
2017,Learning Recurrent Representations for Hierarchical Behavior Modeling,20,11,8,0,13,1
2017,Generalizing Skills with Semi-Supervised Reinforcement Learning,32,21,4,0,0,1
2017,Entropy-SGD: Biasing Gradient Descent Into Wide Valleys,286,169,67,11,48,40
2017,Tree-structured decoding with doubly-recurrent neural networks,63,32,20,0,0,6
2017,A Compositional Object-Based Approach to Learning Physical Dynamics,215,132,34,4,66,15
2017,"Attend, Adapt and Transfer: Attentive Deep Architecture for Adaptive Transfer from multiple sources in the same domain",18,12,2,2,0,1
2017,Multilayer Recurrent Network Models of Primate Retinal Ganglion Cell Responses,29,11,8,0,0,1
2017,LR-GAN: Layered Recursive Generative Adversarial Networks for Image Generation,109,50,28,6,24,11
2017,Learning to Optimize,136,64,34,1,0,3
2017,Variational Lossy Autoencoder,326,210,109,11,82,69
2017,Improving Generative Adversarial Networks with Denoising Feature Matching,128,38,37,2,0,20
2017,Emergence of foveal image sampling from learning to attend in visual scenes,15,8,2,0,10,0
2017,Words or Characters? Fine-grained Gating for Reading Comprehension,79,32,17,2,27,5
2017,Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,182,100,58,7,41,29
2017,Bidirectional Attention Flow for Machine Comprehension,1067,537,646,36,0,295
2017,Query-Reduction Networks for Question Answering,85,56,34,6,0,22
2017,Training Compressed Fully-Connected Networks with a Density-Diversity Penalty,5,2,1,0,0,0
2017,Do Deep Convolutional Nets Really Need to be Deep and Convolutional?,98,46,18,4,0,7
2017,Recurrent Hidden Semi-Markov Model,22,15,11,2,0,1
2017,Lie-Access Neural Turing Machines,2,0,1,0,0,0
2017,What does it take to generate natural textures?,17,6,8,2,0,4
2017,Tracking the World State with Recurrent Entity Networks,131,70,54,8,669,30
2017,Training Agent for First-Person Shooter Game with Actor-Critic Curriculum Learning,105,56,28,1,0,8
2017,Deep Biaffine Attention for Neural Dependency Parsing,363,120,142,12,2,55
2017,Learning Curve Prediction with Bayesian Neural Networks,101,49,34,6,0,13
2017,Deep Information Propagation,133,73,29,16,0,32
2017,Pruning Filters for Efficient ConvNets,990,532,491,69,17,220
2017,SGDR: Stochastic Gradient Descent with Warm Restarts,1128,173,500,12,196,154
2017,Program Synthesis for Character Level Language Modeling,6,3,1,0,0,0
2017,Learning Invariant Feature Spaces to Transfer Skills with Reinforcement Learning,98,60,16,1,7,3
2017,On the Quantitative Analysis of Decoder-Based Generative Models,148,60,53,6,0,20
2017,Tighter bounds lead to improved classifiers,4,3,1,0,16,0
2017,Topology and Geometry of Half-Rectified Network Optimization,113,61,8,7,15,8
2017,Quasi-Recurrent Neural Networks,195,89,77,5,0,40
2017,Pointer Sentinel Mixture Models,486,162,268,9,265,105
2017,Learning to Generate Samples from Noise through Infusion Training,23,6,8,0,11,1
2017,EPOpt: Learning Robust Neural Network Policies Using Model Ensembles,148,93,53,4,0,20
2017,Steerable CNNs,129,70,35,2,0,15
2017,Learning to Perform Physics Experiments via Deep Reinforcement Learning,50,30,6,0,0,0
2017,The Neural Noisy Channel,37,19,12,3,33,2
2017,Learning to Compose Words into Sentences with Reinforcement Learning,89,63,31,3,0,17
2017,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,302,164,82,5,0,48
2017,Diet Networks: Thin Parameters for Fat Genomics,37,9,10,0,46,2
2017,Autoencoding Variational Inference For Topic Models,132,58,66,8,0,46
2017,Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,129,65,45,6,45,19
2017,Why Deep Neural Networks for Function Approximation?,147,75,15,4,120,11
2017,Reinforcement Learning with Unsupervised Auxiliary Tasks,564,332,140,15,0,53
2017,Improving Policy Gradient by Exploring Under-appreciated Rewards,19,11,3,1,18,1
2017,Mode Regularized Generative Adversarial Networks,258,142,81,6,17,40
2017,An Actor-Critic Algorithm for Sequence Prediction,313,154,151,8,85,50
2017,Trusting SVM for Piecewise Linear CNNs,8,2,3,0,0,0
2017,End-to-end Optimized Image Compression,326,167,156,19,0,91
2017,"Snapshot Ensembles: Train 1, Get M for Free",254,100,105,7,85,43
2017,Learning Features of Music From Scratch,73,32,30,0,0,13
2017,DeepCoder: Learning to Write Programs,219,121,82,3,0,33
2017,A Compare-Aggregate Model for Matching Text Sequences,174,69,63,7,4,27
2017,Automatic Rule Extraction from Long Short Term Memory Networks,58,22,19,0,45,5
2017,Capacity and Trainability in Recurrent Neural Networks,102,60,25,3,68,11
2017,Learning to Repeat: Fine Grained Action Repetition for Deep Reinforcement Learning,33,16,7,0,0,3
2017,Multi-view Recurrent Neural Acoustic Word Embeddings,49,29,16,3,3,5
2017,Neuro-Symbolic Program Synthesis,141,73,53,1,0,16
2017,Learning to Remember Rare Events,172,95,53,6,0,30
2017,Discrete Variational Autoencoders,85,39,25,1,61,1
2017,Understanding Trainable Sparse Coding with Matrix Factorization,30,11,12,2,4,6
2017,"Learning to Query, Reason, and Answer Questions On Ambiguous Texts",13,7,2,0,0,0
2017,Variable Computation in Recurrent Neural Networks,29,19,6,0,0,5
2017,Learning and Policy Search in Stochastic Dynamical Systems with Bayesian Neural Networks,86,39,39,4,14,3
2017,Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU,80,27,37,1,29,16
2017,Reasoning with Memory Augmented Neural Networks for Language Comprehension,23,8,3,2,33,2
2017,Learning a Natural Language Interface with Neural Programmer,96,58,35,5,0,8
2017,Loss-aware Binarization of Deep Networks,100,52,51,8,5,10
2017,Hyperband: Bandit-Based Configuration Evaluation for Hyperparameter Optimization,80,43,38,3,0,21
2017,Nonparametric Neural Networks,12,6,5,0,18,0
2017,Improving Neural Language Models with a Continuous Cache,159,86,59,10,0,33
2017,Episodic Exploration for Deep Deterministic Policies for StarCraft Micromanagement,101,42,25,6,0,13
2017,Lossy Image Compression with Compressive Autoencoders,314,155,130,11,0,55
2017,Temporal Ensembling for Semi-Supervised Learning,408,207,202,18,23,97
2017,Optimization as a Model for Few-Shot Learning,967,459,371,21,0,147
2017,Towards a Neural Statistician,184,75,75,5,12,18
2017,Faster CNNs with Direct Sparse Convolutions and Guided Pruning,86,56,27,0,0,15
2017,Boosted Generative Models,23,8,9,1,39,5
2017,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,407,216,139,12,0,75
2017, Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,440,228,124,11,0,33
2017,Q-Prop: Sample-Efficient Policy Gradient with An Off-Policy Critic,197,117,82,11,0,15
2017,Recurrent Batch Normalization,271,100,101,16,0,34
2017,Inductive Bias of Deep Convolutional Networks through Pooling Geometry,44,27,8,4,0,1
2017,Incremental Network Quantization: Towards Lossless CNNs with Low-precision Weights,454,202,176,7,22,55
2017,,-1,-1,-1,-1,-1,-1
2017,DSD: Dense-Sparse-Dense Training for Deep Neural Networks,79,25,25,3,50,9
2017,TopicRNN: A Recurrent Neural Network with Long-Range Semantic Dependency,123,54,48,1,59,23
2017,Efficient Representation of Low-Dimensional Manifolds using Deep Networks,26,15,4,0,6,1
2017,Training deep neural-networks using a noise adaptation layer,160,71,75,4,0,18
2017,SampleRNN: An Unconditional End-to-End Neural Audio Generation Model,274,118,125,4,0,58
2017,FractalNet: Ultra-Deep Neural Networks without Residuals,389,157,122,11,0,58
2017,Towards the Limit of Network Quantization,71,36,36,5,5,13
2017,Understanding deep learning requires rethinking generalization,1863,1308,249,72,0,193
2017,Optimal Binary Autoencoding with Pairwise Correlations,1,0,0,0,0,0
2017,Metacontrol for Adaptive Imagination-Based Optimization,49,24,15,0,11,0
2017,Sparsely-Connected Neural Networks: Towards Efficient VLSI Implementation of Deep Neural Networks,21,10,9,1,7,0
2017,Calibrating Energy-based Generative Adversarial Networks,71,27,21,0,0,7
2017,Designing Neural Network Architectures using Reinforcement Learning,548,233,247,7,0,66
2017,Categorical Reparameterization with Gumbel-Softmax,1212,364,839,16,0,238
2017,PixelVAE: A Latent Variable Model for Natural Images,186,101,69,2,8,31
2017,Transfer of View-manifold Learning to Similarity Perception of Novel Objects,9,7,2,0,8,0
2017,Sample Efficient Actor-Critic with  Experience Replay,309,129,129,4,0,39
2017,Distributed Second-Order Optimization using Kronecker-Factored Approximations,50,11,31,3,0,11
2017,Learning to Navigate in Complex Environments,414,242,90,7,0,26
2017,Learning to superoptimize programs,17,9,3,0,83,0
2017,Trained Ternary Quantization,490,242,167,14,6,60
2017,Online Bayesian Transfer Learning for Sequential Data Modeling,8,1,4,0,0,0
2017,Deep Variational Information Bottleneck,358,197,145,8,0,88
2017,Exploring Sparsity in Recurrent Neural Networks,121,63,57,3,81,13
2017,Neural Photo Editing with Introspective Adversarial Networks,227,130,56,3,0,21
2017,Semi-Supervised Classification with Graph Convolutional Networks,3750,1927,1930,73,0,1134
2017,Deep Learning with Dynamic Computation Graphs,86,37,30,0,340,21
2017,A recurrent neural network without chaos,36,14,6,0,38,3
2017,Adversarially Learned Inference,707,362,227,30,84,132
2017,Amortised MAP Inference for Image Super-resolution,263,119,75,7,128,22
2017,A STRUCTURED SELF-ATTENTIVE SENTENCE EMBEDDING,833,386,351,9,0,95
2017,Geometry of Polysemy,10,4,4,0,9,1
2017,On Detecting Adversarial Perturbations,406,243,113,3,25,37
2017,Frustratingly Short Attention Spans in Neural Language Modeling,58,35,18,5,0,14
2017,Learning Invariant Representations Of Planar Curves ,3,1,0,0,4,0
2017,Deep Multi-task Representation Learning: A Tensor Factorisation Approach,122,57,45,3,5,21
2017,Unrolled Generative Adversarial Networks,443,221,138,11,127,65
2017,Structured Attention Networks,195,99,63,6,0,21
2017,HyperNetworks,229,85,73,2,0,31
2017,Dropout with Expectation-linear Regularization,24,12,8,0,18,2
2017,Dynamic Coattention Networks For Question Answering,435,249,167,7,0,78
2017,Visualizing Deep Neural Network Decisions: Prediction Difference Analysis,267,127,93,9,21,33
2017,Density estimation using Real NVP,801,419,374,9,0,203
2017,Dialogue Learning With Human-in-the-Loop,46,26,11,2,24,4
2017,Learning to Act by Predicting the Future,179,103,49,6,0,15
2017,"Offline bilingual word vectors, orthogonal transformations and the inverted softmax",283,140,142,16,12,60
2017,Paying More Attention to Attention: Improving the Performance of Convolutional Neural Networks via Attention Transfer,375,205,145,7,0,72
2017,Recurrent Mixture Density Network for Spatiotemporal Visual Attention,66,37,17,2,7,4
2017,Zoneout: Regularizing RNNs by Randomly Preserving Hidden Activations,187,56,62,4,117,22
2017,Adversarial Machine Learning at Scale,928,522,372,23,0,231
2017,A Learned Representation For Artistic Style,442,188,190,8,0,56
2017,Batch Policy Gradient  Methods for  Improving Neural Conversation Models,20,9,2,0,9,1
2017,Incorporating long-range consistency in CNN-based texture generation,27,14,14,2,0,7
2017,Paleo: A Performance Model for Deep Neural Networks,61,28,23,0,0,9
2017,On Large-Batch Training for Deep Learning: Generalization Gap and Sharp Minima,880,543,106,53,0,95
2017,Predicting Medications from Diagnostic Codes with Recurrent Neural Networks,20,7,6,1,0,1
2017,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,5,0,1,0,22,0
2017,Regularizing CNNs with Locally Constrained Decorrelations,62,32,9,3,5,5
2017,Generating Long and Diverse Responses with Neural Conversation Models,38,14,8,1,16,4
2017,DeepDSL: A Compilation-based Domain-Specific Language for Deep Learning,3,1,1,0,0,0
2017,Delving into Transferable Adversarial Examples and Black-box Attacks,615,378,129,25,11,57
2017,Central Moment Discrepancy (CMD) for Domain-Invariant Representation Learning,123,61,57,0,6,25
2017,Towards Deep Interpretability (MUS-ROVER II): Learning Hierarchical Representations of Tonal Music,5,3,4,0,0,0
2017,PixelCNN++: Improving the PixelCNN with Discretized Logistic Mixture Likelihood and Other Modifications,307,111,155,9,32,57
2017,Latent Sequence Decompositions,46,24,14,1,22,4
2017,HolStep: A Machine Learning Dataset for Higher-order Logic Theorem Proving,44,9,19,1,53,3
2017,Fine-grained Analysis of Sentence Embeddings Using Auxiliary Prediction Tasks,211,122,72,10,0,28
2017,Learning similarity preserving representations with neural similarity and context encoders,1,0,1,0,0,0
2017,Memory-augmented Attention Modelling for Videos,13,2,3,0,4,0
2017,Neural Causal Regularization under the Independence of Mechanisms Assumption,1,0,0,0,0,0
2017,New Learning Approach By Genetic Algorithm In A Convolutional Neural Network For Pattern Recognition,1,0,0,0,0,0
2017,Bit-Pragmatic Deep Neural Network Computing,90,55,23,2,13,10
2017,Learning Identity Mappings with Residual Gates,2,0,0,0,13,0
2017,Investigating Different Context Types and Representations for Learning Word Embeddings,0,0,0,0,0,0
2017,Neural Combinatorial Optimization with Reinforcement Learning,279,150,132,13,72,62
2017,A Differentiable Physics Engine for Deep Learning in Robotics,43,24,9,0,29,3
2017,Two Methods for Wild Variational Inference,19,5,5,0,0,1
2017,Sample Importance in Training Deep Neural Networks,3,2,0,0,0,0
2017,Neural Code Completion,12,7,6,1,0,5
2017,Demystifying ResNet,15,9,3,0,11,1
2017,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization,8,3,3,0,0,0
2017,Tartan: Accelerating Fully-Connected and Convolutional Layers in Deep Learning Networks by Exploiting Numerical Precision Variability,12,3,2,0,4,0
2017,Cooperative Training of Descriptor and Generator Networks,46,15,17,1,26,4
2017,Regularizing Neural Networks by Penalizing Confident Output Distributions,342,169,124,9,18,54
2017,Song From PI: A Musically Plausible Network for Pop Music Generation,60,37,14,3,0,6
2017,Dataset Augmentation in Feature Space,108,56,41,2,26,7
2017,Recurrent Neural Networks for Multivariate Time Series with Missing Values,458,187,144,10,82,55
2017,Counterpoint by Convolution,54,27,21,3,5,6
2017,Fast Chirplet Transform to Enhance CNN Machine Listening - Validation on Animal calls and Speech,1,1,0,0,2,0
2017,Finding a Jack-of-All-Trades: An Examination of Semi-supervised Learning in Reading Comprehension,1,0,1,0,0,0
2017,Efficient Summarization with Read-Again and Copy Mechanism,55,33,15,2,4,3
2017,The Predictron: End-To-End Learning and Planning,134,69,42,2,159,8
2017,Training Group Orthogonal Neural Networks with Privileged Information,21,11,8,0,10,0
2017,Neural Data Filter for Bootstrapping Stochastic Gradient Descent,3,1,0,0,0,0
2017,Surprise-Based Intrinsic Motivation for Deep Reinforcement Learning,79,53,17,1,3,9
2017,Eigenvalues of the Hessian in Deep Learning: Singularity and Beyond,91,53,14,5,53,7
2017,Extensions and Limitations of the Neural GPU,11,9,4,0,6,2
2017,Options Discovery with Budgeted Reinforcement Learning,2,1,0,0,17,0
2017,On orthogonality and learning recurrent networks with long term dependencies,93,51,30,3,13,11
2017,Learning Continuous Semantic Representations of Symbolic Expressions,45,31,13,3,6,7
2017,Fuzzy paraphrases in learning word representations with a lexicon,1,1,0,0,0,0
2017,Unsupervised Deep Learning of State Representation Using Robotic Priors ,2,1,0,0,0,0
2017,LSTM-Based System-Call Language Modeling and Ensemble Method for Host-Based Intrusion Detection,43,12,9,0,33,1
2017,Epitomic Variational Autoencoders,3,2,2,0,0,0
2017,Layer Recurrent Neural Networks,2,2,1,0,0,0
2017,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization,2,1,0,0,0,0
2017,NEWSQA: A MACHINE COMPREHENSION DATASET,288,169,97,6,0,66
2017,Coarse Pruning of Convolutional Neural Networks with Random Masks,8,4,4,0,0,0
2017,Universality in halting time,4,1,1,0,0,0
2017,Generating Interpretable Images with Controllable Structure,42,18,14,1,0,3
2017,Representing inferential uncertainty in deep neural networks through sampling,22,7,10,0,9,2
2017,Online Structure Learning for Sum-Product Networks with Gaussian Leaves,18,8,5,0,0,1
2017,A Convolutional Encoder Model for Neural Machine Translation,209,86,85,3,34,25
2017,Reference-Aware Language Models,52,35,27,2,5,10
2017,Deep Learning with Sets and Point Clouds,89,47,24,1,73,4
2017,Exponential Machines,37,11,16,0,0,3
2017,Adversarial examples in the physical world,1689,971,681,30,0,323
2017,Gated Multimodal Units for Information Fusion,63,38,30,2,0,14
2017,Warped Convolutions: Efficient Invariance to Spatial Transformations,69,34,17,0,21,5
2017,Human perception in computer vision,3,1,0,0,12,0
2017,Binary Paragraph Vectors,5,2,0,0,7,1
2017,Modularized Morphing of Neural Networks,11,6,1,1,15,2
2017,NEUROGENESIS-INSPIRED DICTIONARY LEARNING: ONLINE MODEL ADAPTION IN A CHANGING WORLD,3,1,2,0,8,0
2017,Low-rank passthrough neural networks,8,4,1,0,16,0
2017,Towards Understanding the Invertibility of Convolutional Neural Networks,35,19,3,1,0,1
2017,Recurrent Normalization Propagation,0,0,0,0,0,0
2017,Learning in Implicit Generative Models,201,111,43,5,189,6
2017,Intelligible Language Modeling with Input Switched Affine Networks,6,4,1,0,22,0
2017,Lifelong Perceptual Programming By Example,7,3,0,0,0,0
2017,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks,12,6,5,1,5,1
2017,Sentence Ordering using Recurrent Neural Networks,14,7,2,2,0,2
2017,Towards an automatic Turing test: Learning to evaluate dialogue responses,155,92,29,9,61,24
2017,Inference and Introspection in Deep Generative Models of Sparse Data,3,2,0,0,0,0
2017,TreNet: Hybrid Neural Networks for Learning the Local Trend in Time Series,1,0,0,0,0,0
2017,Compositional Kernel Machines,4,1,2,0,0,1
2017,Introducing Active Learning for CNN under the light of Variational Inference,0,0,0,0,0,0
2017,L-SR1: A Second Order Optimization Method for Deep Learning,3,1,2,0,0,1
2017,Adversarial examples for generative models,134,85,21,1,14,9
2017,Hierarchical compositional feature learning,8,4,3,0,14,0
2017,Unsupervised Perceptual Rewards for Imitation Learning,64,41,12,0,40,5
2017,Submodular Sum-product Networks for Scene Understanding,1,0,1,0,0,0
2017,Semi-Supervised Detection of Extreme Weather Events in Large Climate Datasets,11,4,5,0,2,0
2017,Progressive Attention Networks for Visual Attribute Prediction,27,7,13,0,9,4
2017,Fast Adaptation in Generative Models with Generative Matching Networks,29,17,8,2,0,3
2017,Classless Association using Neural Networks,3,0,1,0,0,0
2017,Recurrent Coevolutionary Feature Embedding Processes for Recommendation,7,4,0,0,0,0
2017,Unsupervised Learning of State Representations for Multiple Tasks,7,4,0,0,0,0
2017,A Neural Stochastic Volatility Model,13,7,1,0,17,0
2017,Playing SNES in the Retro Learning Environment,11,6,5,0,0,2
2017,Linear Time Complexity Deep Fourier Scattering Network and Extension to Nonlinear Invariants,3,2,1,0,8,0
2017,Boosting Image Captioning with Attributes,293,131,98,11,14,36
2017,Recursive Regression with Neural Networks: Approximating the HJI PDE Solution,5,1,3,0,3,0
2017,Deep Unsupervised Clustering with Gaussian Mixture Variational Autoencoders,212,89,85,4,14,23
2017,Taming the waves: sine as activation function in deep neural networks,17,11,1,1,0,2
2017,Significance of Softmax-Based Features over Metric Learning-Based Features,25,13,2,0,24,0
2017,Deep Generalized Canonical Correlation Analysis,44,20,16,0,24,8
2017,Learning Recurrent Span Representations for Extractive Question Answering,99,48,23,1,9,15
2017,GRAM: Graph-based Attention Model for Healthcare Representation Learning,194,89,64,4,49,22
2017,Improving Sampling from Generative Autoencoders with Markov Chains,7,4,2,0,42,0
2017,Towards Principled Methods for Training Generative Adversarial Networks,841,504,138,17,75,89
2017,Learning Disentangled Representations in Deep Generative Models,14,8,4,0,0,0
2017,Local minima in training of deep networks,60,33,3,2,32,4
2017,Compact Embedding of Binary-coded Inputs and Outputs using Bloom Filters,1,0,0,0,0,0
2017,RenderGAN: Generating Realistic Labeled Data,86,32,37,0,10,2
2017,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL,0,0,0,0,0,0
2017,Tuning Recurrent Neural Networks with Reinforcement Learning,41,12,16,1,0,3
2017,An Analysis of Feature Regularization for Low-shot Learning,2,2,0,0,0,0
2017,Gradients of Counterfactuals,28,9,7,0,8,5
2017,Encoding and Decoding Representations with Sum- and Max-Product Networks,0,0,0,0,0,0
2017,Skip-graph: Learning graph embeddings with an encoder-decoder model,6,3,4,0,0,0
2017,Information Dropout: learning optimal representations through noise,20,5,8,1,0,1
2017,Deep unsupervised learning through spatial contrasting,20,9,8,0,7,0
2017,Dynamic Partition Models,6,0,0,0,6,0
2017,End-to-End Answer Chunk Extraction and Ranking for Reading Comprehension,48,22,6,1,4,6
2017,Exploration: A Study of Count-Based Exploration for Deep Reinforcement Learning,254,125,88,6,0,25
2017,Diverse Beam Search: Decoding Diverse Solutions from Neural Sequence Models,142,82,42,6,0,16
2017,Extrapolation and learning equations,22,7,9,0,0,2
2017,Learning Python Code Suggestion with a Sparse Pointer Network,35,16,16,0,58,5
2017,Evaluation of Defensive Methods for DNNs against Multiple Adversarial Evasion Models,3,3,0,0,0,0
2017,Representation Stability as a Regularizer for Improved Text Analytics Transfer Learning,12,8,4,0,3,1
2017,Exploring LOTS in Deep Neural Networks,2,0,0,0,2,0
2017,Development of JavaScript-based deep learning platform and application to distributed training,72,1,0,0,71,0
2017,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM,2,1,0,0,3,0
2017,Out-of-class novelty generation: an experimental foundation,7,3,0,1,0,1
2017,End-to-End Learnable Histogram Filters,20,10,12,0,0,3
2017,Character-aware Attention Residual Network for Sentence Representation,0,0,0,0,0,0
2017,ReasoNet: Learning to Stop Reading in Machine Comprehension,230,104,68,2,0,19
2017,Implicit ReasoNet: Modeling Large-Scale Structured Relationships with Shared Memory,14,4,3,0,24,2
2017,Efficient iterative policy optimization,4,1,4,0,15,0
2017,A hybrid network: Scattering and Convnet,5,3,2,1,0,0
2017,Cortical-Inspired Open-Bigram Representation for Handwritten Word Recognition,2,2,0,0,0,0
2017,Learning Locomotion Skills Using DeepRL: Does the Choice of Action Space Matter?,47,13,6,0,4,1
2017,Learning to Discover Sparse Graphical Models,10,5,3,0,5,2
2017,Efficient Communications in Training Large Scale Neural Networks,12,5,3,0,3,0
2017,Semantic Noise Modeling for Better Representation Learning,2,0,0,0,2,0
2017,Attentive Recurrent Comparators,55,28,12,2,61,7
2017,Combating Deep Reinforcement Learning's Sisyphean Curse with Intrinsic Fear,66,25,3,0,57,2
2017,Shift Aggregate Extract Networks,11,5,4,1,4,3
2017,Unsupervised Pretraining for Sequence to Sequence Learning,168,69,65,4,19,10
2017,Revisiting Batch Normalization For Practical Domain Adaptation,215,99,91,8,13,35
2017,A Neural Knowledge Language Model,80,52,25,1,0,8
2017,Dynamic Neural Turing Machine with Continuous and Discrete Addressing Schemes,18,8,5,0,2,0
2017,Gated-Attention Readers for Text Comprehension,257,141,114,10,0,51
2017,Deep Character-Level Neural Machine Translation By Learning Morphology,3,1,0,0,0,0
2017,Automated Generation of Multilingual Clusters for the Evaluation of Distributed Representations,11,3,2,0,10,0
2017,Adding Gradient Noise Improves Learning for Very Deep Networks,248,124,58,12,42,22
2017,Knowledge Adaptation: Teaching to Adapt,15,6,7,1,15,2
2017,Neural Taylor Approximations: Convergence and Exploration in Rectifier Networks,16,11,3,0,24,3
2017,On the Expressive Power of Deep Neural Networks,294,180,32,22,152,28
2017,The loss surface of residual networks: Ensembles and the role of batch normalization,9,6,0,0,0,0
2017,Understanding trained CNNs by indexing neuron selectivity,10,4,5,1,73,1
2017,Riemannian Optimization for Skip-Gram Negative Sampling,6,1,2,0,2,0
2017,Exploring the Application of Deep Learning for Supervised Learning Problems,1,0,0,0,0,0
2017,A Way out of the Odyssey: Analyzing and Combining Recent Insights for LSTMs,7,3,1,1,47,1
2017,LipNet: End-to-End Sentence-level Lipreading,113,44,32,3,69,15
2017,Distributed Transfer Learning for Deep Convolutional Neural Networks by Basic Probability Assignment,0,0,0,0,0,0
2017,DeepRebirth: A General Approach for Accelerating Deep Neural Network Execution on Mobile Devices,2,1,1,0,0,0
2017,Modelling Relational Time Series using Gaussian Embeddings,0,0,0,0,0,0
2017,Higher Order Recurrent Neural Networks,33,11,14,3,43,9
2017,Multi-task learning with deep model based reinforcement learning,8,2,1,0,2,0
2017,Bridging Nonlinearities and Stochastic Regularizers with Gaussian Error Linear Units,146,30,42,0,36,14
